TEfam	TEpropCov	Cont_1	Cont_2	Cont_3	Sel_1	Sel_2	Sel_3	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length
STALKER2	0.881126173096976	5.647	4.789	4.985	6.352	5.749	5.596	5.14	5.899	0.759	0.199	1	638.49	6.42638069928515e-140	4	133.74	6.42638069928515e-140	46026	TRUE	FBte0000472	NA	Stalker2	Dmel	Stalker2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Nonautonomous;pol|internal_portion|STALKER2_I|STALKER2_LTR;Nonautonomous_endogenous_retrovirus.	LTR	RNA	7672
STALKER3	1	13.735	13.991	12.912	13.879	13.487	14.062	13.546	13.81	0.263	0.028	1	3.7	0.0546514900774502	4	7.17	0.0546514900774502	2226	FALSE	FBte0001157	NA	Stalker3	Dmel	Stalker3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|LTR|STALKER3_LTR;TABOR_group.	LTR	RNA	372
TABOR	0.856364874063989	7.725	6.47	6.975	6.252	6.346	7.508	7.057	6.702	-0.355	-0.074	1	118.91	1.1904079454531e-27	4	279.92	1.1904079454531e-27	44064	TRUE	FBte0000974	AC007146	Tabor	Dmel	Tabor	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.968	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|LTR-retrotransposon|TABOR_group|TABOR_I;TABOR_LTR|env|gag|pol|internal_portion.	LTR	RNA	7345
TAHRE	0.994647806556437	6.458	7.396	8.254	8.315	6.997	8.761	7.369	8.024	0.655	0.123	1	548.65	8.1938900678357e-121	4	702.88	8.1938900678357e-121	62772	TRUE	FBte0000148	AJ542581	TAHRE	Dmel	TAHRE	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|TAHRE.	non-LTR	RNA	10463
TC1	1	15.964	15.268	14.042	16.323	14.658	15.35	15.091	15.443	0.352	0.033	1	20.61	5.69700459260142e-06	4	91.27	5.69700459260142e-06	9990	TRUE	FBte0000927	nnnnnnnn	Tc1	Dmel	Tc1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|TC1_DM|transposase.	TIR	DNA	1666
TC1-2	1	10.584	10.944	9.062	11.814	10.013	10.861	10.197	10.896	0.699	0.096	1	99.33	2.74976568413813e-23	4	122.67	2.74976568413813e-23	9858	TRUE	FBte0000838	nnnnnnnn	Tc1-2	Dmel	Tc1-2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|TC1-2_DM|transposase.	TIR	DNA	1644
TC3	0.843373493975904	2.668	2.591	2.218	2.844	2.428	2.638	2.493	2.637	0.144	0.081	1	19.11	1.24578696961782e-05	4	31.04	1.24578696961782e-05	10452	TRUE	FBte0000044	AC009537	Tc3	Dmel	Tc3	terminal_inverted_repeat_element	DNA	NA	Tc1-Mariner	Tc3	NA	NA	0	NA	NA	TIR	DNA	1743
Tinker	0.947316753926702	10.373	12.274	9.503	11.664	10.282	10.373	10.717	10.773	0.057	0.008	1	2.89	0.0888864114562745	4	783.66	0.0888864114562745	36666	FALSE	FBte0000001	AC004377	diver	Dmel	diver	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	99.752	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|ORF1|gag;Retrovirus|endonuclease|internal_portion|RT|DIVER_I;DIVER_LTR.	LTR	RNA	6112
TIRANT	0.872859488623035	6.173	7.789	6.245	7.117	5.931	6.005	6.736	6.351	-0.385	-0.085	1	179.02	9.27365871159093e-41	4	513.95	9.27365871159093e-41	51150	TRUE	FBte0000179	X93507	Tirant	Dmel	Tirant	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.974	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|TIRANT_I|TIRANT_LTR;env|gag|pol|internal_portion.	LTR	RNA	8526
TRANSIB1	0.944623904014767	2.751	2.776	2.288	3.097	2.615	2.645	2.605	2.786	0.181	0.097	1	68.79	1.20061879137901e-16	4	104.47	1.20061879137901e-16	12996	TRUE	FBte0000626	nnnnnnnn	transib1	Dmel	transib1	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	99.575	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;transposase|TRANSIB3|TRANSIB1.	TIR	DNA	2167
TRANSIB2	1	11.614	10.675	9.701	12.07	10.328	11.345	10.663	11.248	0.584	0.077	1	75.05	5.00169072865646e-18	4	123.3	5.00169072865646e-18	17058	TRUE	FBte0000885	nnnnnnnn	transib2	Dmel	transib2	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;TRANSIB2|TRANSIB2p_transposase.	TIR	DNA	2844
TRANSIB4	0.956701807228916	2.102	2.058	1.821	2.321	2.009	2.151	1.994	2.16	0.166	0.116	1	89.03	4.408166125025e-21	4	50.69	4.408166125025e-21	15930	TRUE	FBte0001174	nnnnnnnn	transib4	Dmel	transib4	terminal_inverted_repeat_element	DNA	Jockey	?	Transib	Drosophila_melanogaster	99.115	1	NA	Transib|DNA_transposon|Transposable_Element|DDE-class;TRANSIB_family|TRANSIB4p_transposase|TRANSIB4.	TIR	DNA	2656
