# submitted_id	current_id	converted_id	current_symbol
FBgn0031972	FBgn0031972	FBgn0031972	Wwox
FBgn0039126	FBgn0039126	FBgn0039126	CG13601
FBgn0031566	FBgn0031566	FBgn0031566	CG2818
FBgn0032597	FBgn0032597	FBgn0032597	CG17904
FBgn0042627	FBgn0042627	FBgn0042627	FASN2
FBgn0051772	FBgn0263846	FBgn0263846	CG43707
FBgn0020626	FBgn0020626	FBgn0020626	Osbp
FBgn0031988	FBgn0031988	FBgn0031988	CG8668
FBgn0045842	FBgn0045842	FBgn0045842	yuri
FBgn0038684	FBgn0259704	FBgn0259704	Nsun5
FBgn0038684	FBgn0259705	FBgn0259705	CG42359
FBgn0033471	FBgn0033471	FBgn0033471	CG12134
FBgn0039765	FBgn0039765	FBgn0039765	mRpS18C
FBgn0031310	FBgn0031310	FBgn0031310	Vps29
FBgn0035898	FBgn0262719	FBgn0262719	CG43163
FBgn0010452	FBgn0010452	FBgn0010452	trn
FBgn0038893	FBgn0038893	FBgn0038893	Archease
FBgn0037184	FBgn0037184	FBgn0037184	CG14450
FBgn0033636	FBgn0033636	FBgn0033636	tou
FBgn0051217	FBgn0051217	FBgn0051217	modSP
