TEfam	TEpropCov	CE	CP	HE	HP	LE	LP	CE1	CE2	CE3	CE4	CP1	CP2	CP3	CP4	HE1	HE2	HE3	HE4	HP1	HP2	HP3	HP4	LE1	LE2	LE3	LE4	LP1	LP2	LP3	LP4	Mean_Early	Mean_Postponed	Mean_Control	Mean_High	Mean_Low	Diff_PostEarly	log2Rat_PostEarly	Diff_HighCont	Diff_HighLow	Diff_ContLow	log2Rat_HighCont	log2Rat_HighLow	log2Rat_ContLow	Diff_PostEarlyCont	Diff_PostEarlyHigh	Diff_PostEarlyLow	log2Rat_PostEarlyCont	log2Rat_PostEarlyHigh	log2Rat_PostEarlyLow	Df_Diet	F_value_Diet	PvalFull_Diet	Df_Breeding	F_value_Breeding	PvalFull_Breeding	Df_Inter	F_value_Inter	PvalFull_Inter	Df_resid	Df_Low	F_value_Low	Pval_Low	Df_Low_nested	F_value_Low_nested	Pval_Low_nested	Df_Low_resid	Df_Cont	F_value_Cont	Pval_Cont	Df_Cont_nested	F_value_Cont_nested	Pval_Cont_nested	Df_Cont_resid	Df_High	F_value_High	Pval_High	Df_High_nested	F_value_High_nested	Pval_High_nested	Df_High_resid	Bonf_Full	Bonf_Low	Bonf_Cont	Bonf_High	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS	ConsSCav	ConsCSav	ConsSC_L	ConsCS_L	ConsSC_C	ConsCS_C	ConsSC_H	ConsCS_H
DOC4	1	6.033772	6.770616	6.503986	6.223954	6.100956	6.676597	6.4519	5.69033	6.227535	5.765325	6.784305	6.237285	7.03926	7.021615	6.678045	6.694015	6.31075	6.333135	6.22585	6.14646	6.31347	6.210035	6.231155	6.094415	6.150875	5.92738	6.95561	6.756085	6.3762	6.618495	6.213	6.557	6.402	6.364	6.389	0.344	0.078	-0.038	-0.025	0.013	-0.009	-0.006	0.003	0.737	-0.28	0.576	0.166	-0.063	0.13	2	0.18	0.833279569228959	1	43.08	5.80959386304813e-11	2	36.22	2.45102901371399e-16	4794	1	39.9905183789822	3.30737573912168e-10	6	2.28693906385065	0.0334225417511214	1592	1	68.5471122020735	2.59203388532357e-16	6	8.6502707957148	2.77945352724209e-09	1592	1	9.50050353495324	0.00208939662635932	6	1.48565926771606	0.179266141009185	1592	TRUE	TRUE	TRUE	FALSE	FBte0001039	nnnnnnnn	Doc4-element	Dmel	Doc4-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC4_DM;JOCKEY_clade|ORF1|ORF2|reverse_transcriptase.	non-LTR	RNA	2791	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
DOC5	1	9.538811	12.111571	12.482336	11.518145	10.615519	12.003029	12.16618	10.869865	12.057445	3.061755	12.306945	11.742315	12.15916	12.237865	12.94304	12.273895	12.317465	12.394945	11.543055	11.18385	11.73776	11.607915	11.272655	11.058335	10.11949	10.011595	12.29776	12.07349	11.209805	12.43106	10.879	11.878	10.825	12	11.309	0.999	0.127	1.175	0.691	-0.484	0.149	0.086	-0.063	2.573	-0.964	1.388	0.345	-0.116	0.177	2	20.74	1.07246691105374e-09	1	44.49	2.84460895199645e-11	2	48.19	1.90239650576288e-21	4794	1	32.6759998583346	1.29752337330775e-08	6	3.03098027469563	0.00597392991514335	1592	1	115.351120890922	5.01260208546442e-26	6	83.0154955398492	1.42909402663446e-90	1592	1	13.782851696464	0.000212270505302399	6	0.567300315658135	0.756637416606508	1592	TRUE	TRUE	TRUE	FALSE	FBte0000791	nnnnnnnn	Porto1	Dmel	Porto1	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC5_DM;JOCKEY_clade|ORF1|ORF2|Porto-1|reverse_transcriptase.	non-LTR	RNA	4682	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
F	1	72.727362	86.577541	89.087511	80.699241	75.871709	84.721734	82.061325	80.5876	85.813485	42.44704	86.78142	84.39063	87.867695	87.27042	94.145475	88.65292	85.884225	87.667425	80.848555	79.037205	83.04333	79.867875	79.31073	77.7202	74.02041	72.435495	85.899035	83.737065	81.700875	87.54996	79.229	84	79.652	84.893	80.297	4.771	0.084	5.241	4.597	-0.644	0.092	0.08	-0.012	13.85	-8.388	8.85	0.251	-0.143	0.159	2	20.16	1.91407701352075e-09	1	42.12	9.43626558246052e-11	2	83.98	1.42357475974146e-36	4794	1	56.7253545812823	8.35348859260868e-14	6	3.01521504102754	0.00620268014265115	1592	1	125.515213221375	4.27976130525532e-28	6	67.8315177852085	2.66573540967938e-75	1592	1	45.3730956843935	2.26798516732794e-11	6	2.52671489362943	0.0194369386837245	1592	TRUE	TRUE	TRUE	TRUE	FBte0000005	AC005198	F-element	Dmel	F-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.936	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LINE_retrotransposon|DMFW|FW_DM|FW.	non-LTR	RNA	4708	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
FW2	0.995	3.385423	3.687415	3.654644	3.62946	3.332539	3.652399	3.79568	3.64302	3.576365	2.526625	3.742125	3.603295	3.76468	3.63956	3.763395	3.593135	3.687995	3.57405	3.425475	3.675855	3.817805	3.598705	3.467025	3.568565	3.138955	3.15561	3.795585	3.44598	3.43243	3.9356	3.458	3.656	3.536	3.642	3.492	0.199	0.081	0.106	0.15	0.044	0.042	0.061	0.018	0.302	-0.025	0.32	0.123	-0.01	0.132	2	6.05	0.00238544418896459	1	30.35	3.8032314515372e-08	2	9.65	6.56988113776424e-05	4794	1	28.9133826304332	8.69392211077601e-08	6	7.87226786419068	2.24338372116072e-08	1592	1	23.4728837952032	1.39017681764737e-06	6	22.0271733543124	5.18736719497712e-25	1592	1	0.162948246749034	0.686510728956946	6	2.21384792313745	0.0393123106406533	1592	TRUE	TRUE	TRUE	FALSE	FBte0001002	nnnnnnnn	Fw2	Dmel	Fw2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|FW2_DM;JOCKEY_clade|ORF1|ORF2|endonuclease|reverse_transcriptase.	non-LTR	RNA	3961	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FW3	0.99	2.007009	1.920444	2.080567	1.796682	1.801909	1.762039	1.870845	1.97438	2.076225	2.106585	2.04523	1.873655	1.957565	1.805325	2.091675	1.966015	2.17303	2.09155	1.67323	1.888075	1.860735	1.76469	1.835705	1.765305	1.7686	1.838025	1.827445	1.77109	1.759685	1.689935	1.963	1.826	1.964	1.939	1.782	-0.137	-0.104	-0.025	0.157	0.182	-0.019	0.122	0.14	-0.087	-0.284	-0.04	-0.064	-0.212	-0.032	2	92.25	4.89126819982909e-40	1	133.42	1.84686987401247e-30	2	39.88	6.62757148599868e-18	4794	1	4.36924668579808	0.0367514645253418	6	3.31214452097517	0.00303706388145815	1592	1	16.3241213609899	5.59242212287561e-05	6	12.1089604463746	2.39336185738702e-13	1592	1	200.26956081189	6.49058174790173e-43	6	10.4857390245252	1.95562085295814e-11	1592	TRUE	FALSE	TRUE	TRUE	FBte0000636	nnnnnnnn	Fw3	Dmel	Fw3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|FW3_DM;JOCKEY_clade|ORF1|ORF2|endonuclease|reverse_transcriptase.	non-LTR	RNA	3132	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
G2	0.995	10.275999	11.597476	11.963396	10.48689	9.884635	10.776995	11.70798	10.740985	11.459125	7.195905	12.49563	10.522195	11.488095	11.883985	12.861145	11.624605	11.129375	12.23846	9.953645	10.939275	10.677175	10.377465	10.836165	10.08336	9.2985	9.320515	11.08339	10.787465	10.07346	11.163665	10.708	10.954	10.937	11.225	10.331	0.246	0.033	0.288	0.894	0.606	0.038	0.12	0.082	1.321	-1.477	0.892	0.175	-0.19	0.125	2	21.26	6.40540537256881e-10	1	4.62	0.0315909331791823	2	57.93	1.38075416349391e-25	4794	1	24.092534946403	1.0123211714986e-06	6	5.91277774995735	4.0645783722565e-06	1592	1	43.8333829542962	4.87373104948207e-11	6	31.8161738063178	2.63655471990559e-36	1592	1	56.000704884331	1.19247224182301e-13	6	4.77182557044488	7.8571100803756e-05	1592	FALSE	TRUE	TRUE	TRUE	FBte0000800	AC006215	G2	Dmel	G2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF2;FW_DM|DOC|JOCKEY_superfamily|G|DMCR1A|G2_DM.	non-LTR	RNA	3102	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
G3	0.89	2.686911	3.329361	3.477473	3.192141	2.910971	3.10668	2.868195	3.26364	3.337835	1.277975	3.388605	3.218495	3.394645	3.3157	3.448555	3.50297	3.59178	3.366585	2.88003	3.308535	3.38504	3.19496	2.947185	2.89328	2.921505	2.881915	3.2304	3.11341	2.972255	3.110655	3.025	3.209	3.008	3.335	3.009	0.184	0.085	0.327	0.326	-0.001	0.149	0.148	0	0.642	-0.285	0.196	0.309	-0.124	0.094	2	24.72	2.09588981852805e-11	1	17.73	2.58877117489982e-05	2	37.48	7.08852014345891e-17	4794	1	7.54735746711561	0.00607756389231841	6	0.591433880265443	0.737425498567873	1592	1	77.3868722925579	3.57866907900698e-18	6	43.6633018205389	1.39468850928205e-49	1592	1	13.6891449368897	0.000223033241427646	6	2.45246281853245	0.0230235682347048	1592	TRUE	FALSE	TRUE	FALSE	FBte0001171	nnnnnnnn	G3	Dmel	G3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1;reverse_transcriptase|ORF2|AP_endonuclease|RNase_H;DNA_binding_protein|JOCKEY_clade|G3_DM.	non-LTR	RNA	4605	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
G4_DM	1	14.271205	18.228675	18.631947	17.829223	17.042041	18.224415	17.889555	16.810995	18.289915	4.094355	18.11939	17.643435	18.92623	18.225645	19.44078	18.516075	18.34887	18.222065	17.19153	18.23002	17.69416	18.20118	17.68414	17.19765	16.756085	16.53029	18.55332	18.827	17.396335	18.121005	16.648	18.094	16.25	18.231	17.633	1.446	0.12	1.981	0.597	-1.383	0.166	0.048	-0.118	3.957	-0.803	1.182	0.353	-0.064	0.097	2	139.35	1.49701160064475e-59	1	211.62	6.01400388390301e-47	2	192.95	2.55179366470254e-81	4794	1	92.5460464429774	2.46999811027722e-21	6	10.7454686875133	9.67553377540892e-12	1592	1	1150.89947975369	2.63460103402656e-190	6	857.958468399439	0	1592	1	41.8944952391497	1.27938514633913e-10	6	8.88372909248136	1.4826359724527e-09	1592	TRUE	TRUE	TRUE	TRUE	FBte0000290	NA	G4	Dmel	G4	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G4_DM|JOCKEY_clad|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	3856	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
G5_DM	1	16.48979	19.742233	20.560077	18.759262	17.912129	20.183312	20.893525	17.94549	19.648925	7.47122	20.34314	18.67907	20.179005	19.767715	21.74164	19.659615	20.65523	20.183825	18.0646	19.24232	19.063965	18.666165	19.204995	18.61762	17.18437	16.64153	20.30702	20.17495	19.674885	20.576395	18.321	19.562	18.116	19.66	19.048	1.241	0.095	1.544	0.612	-0.932	0.118	0.046	-0.072	3.252	-1.801	2.271	0.26	-0.132	0.172	2	22.35	2.18512804993825e-10	1	42.72	6.99024595119669e-11	2	66.39	3.63592233692032e-29	4794	1	54.421165564732	2.59264060964859e-13	6	4.16881419230653	0.000364062703822887	1592	1	113.912315293641	9.86295973505721e-26	6	102.757072667414	1.71973860705869e-109	1592	1	32.5655320327911	1.37183711591057e-08	6	2.65690579151149	0.0144012420602712	1592	TRUE	TRUE	TRUE	TRUE	FBte0001128	NA	G5	Dmel	G5	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G5_DM|JOCKEY_clad|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	4856	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
G5A	1	14.806846	16.686195	16.659164	16.068559	15.548023	16.423155	16.920125	15.401735	16.828375	10.07715	16.873725	16.317165	16.64988	16.90401	17.860395	16.29507	16.3065	16.17469	15.116755	16.030555	16.635475	16.49145	16.038675	15.953115	15.30992	14.89038	16.389735	16.57694	16.10898	16.616965	15.671	16.393	15.747	16.364	15.986	0.721	0.065	0.617	0.378	-0.239	0.055	0.034	-0.022	1.879	-0.591	0.875	0.172	-0.052	0.079	2	9.55	7.23387262852612e-05	1	38.47	6.02254190577328e-10	2	38.03	4.10123306553949e-17	4794	1	21.3283786802703	4.18077435974608e-06	6	2.44853681888796	0.023229816116486	1592	1	94.5852478494478	9.33460148954802e-22	6	70.2895060970331	8.11159759772332e-78	1592	1	9.26575625314721	0.00237303242288236	6	7.39842904453537	7.96018630626249e-08	1592	TRUE	TRUE	TRUE	FALSE	FBte0000174	nnnnnnnn	G5A	Dmel	G5A	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G5A_DM|JOCKEY_clade|ORF2;reverse_transcriptase.	non-LTR	RNA	2841	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
G6_DM	0.985	6.577781	6.795499	6.645985	6.263244	5.834959	6.364018	6.866185	6.28301	6.70283	6.4591	6.98146	5.986985	6.426505	7.787045	6.44417	6.699425	6.46876	6.971585	5.45069	6.77275	6.762025	6.06751	6.425745	5.912665	5.698085	5.30334	5.66155	6.1349	6.78524	6.87438	6.353	6.474	6.687	6.455	6.099	0.121	0.027	-0.232	0.355	0.587	-0.051	0.082	0.133	0.218	-0.383	0.529	0.047	-0.086	0.125	2	45.6	2.40248023749062e-20	1	5.76	0.0164424613309813	2	28.01	8.09200193174576e-13	4794	1	42.846177247156	7.96451392901654e-11	6	20.9237362882881	1.01005692935501e-23	1592	1	5.91777903039602	0.0150983672912259	6	20.8843825411777	1.12301338129532e-23	1592	1	21.0059290056486	4.93588405529984e-06	6	16.5852491203197	1.25566434437757e-18	1592	FALSE	TRUE	FALSE	TRUE	FBte0000958	NA	G6	Dmel	G6	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;DNA/RNA_binding_protein|G6_DM|JOCKEY_clad|ORF1|ORF2|RNase_H;endonuclease.	non-LTR	RNA	2042	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
G7	0.965	0.96286	0.966358	0.983181	1.022631	0.992099	1.014899	1.25102	0.854435	1.142965	0.60302	0.98847	0.96222	0.9089	1.00584	1.07242	0.836885	0.96912	1.0543	0.916695	1.049395	1.09812	1.026315	1.0037	1.05049	0.87925	1.034955	1.170595	0.97619	0.79651	1.1163	0.979	1.001	0.965	1.003	1.003	0.022	0.032	0.038	-0.001	-0.039	0.056	-0.001	-0.057	0.003	0.039	0.023	0.005	0.057	0.033	2	7.49	0.00056388747408703	1	5.44	0.0197775115778283	2	1.22	0.294995385804972	4794	1	2.71939944036592	0.0993326016664544	6	44.3918064316116	2.20100237716738e-50	1592	1	0.0492329670836099	0.824431841867551	6	87.9012493393453	2.38532746451569e-95	1592	1	6.82573044770937	0.00906994764864395	6	19.1050598110026	1.36630187332793e-21	1592	FALSE	FALSE	FALSE	FALSE	FBte0000690	AC003788	G7	Dmel	G7	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|G|G7_DM;JOCKEY_superfamily|ORF2.	non-LTR	RNA	1192	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
HEL	1	4.462464	4.77722	5.033855	4.773553	4.272029	4.405559	4.75486	4.488175	4.741245	3.865575	4.831045	4.615205	5.098735	4.563895	5.075965	5.137525	5.080095	4.841835	4.693635	4.978965	4.78256	4.63905	4.438925	4.36905	4.30305	3.97709	4.67021	4.2914	4.38033	4.280295	4.589	4.652	4.62	4.904	4.339	0.063	0.02	0.284	0.565	0.281	0.086	0.177	0.091	0.315	-0.26	0.134	0.098	-0.077	0.044	2	106.61	4.99107406198055e-46	1	3.94	0.0473410408517563	2	28.88	3.41492399788145e-13	4794	1	6.8946327567401	0.00872833496102504	6	7.23799100800119	1.22088807652689e-07	1592	1	36.765173872434	1.66094720139238e-09	6	21.5909793324065	1.67611727499573e-24	1592	1	19.8942071500982	8.75841368669706e-06	6	2.89410049175108	0.00826710569206774	1592	FALSE	FALSE	TRUE	TRUE	FBte0000984	nnnnnnnn	Helena	Dmel	Helena	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.468	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|HELENA|HELENA_RT.	non-LTR	RNA	1317	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
HOPPER2	1	4.111874	4.749891	4.91387	5.020884	4.551305	4.826735	4.827375	4.883455	4.246115	2.49055	4.85834	4.85698	4.62916	4.655085	5.25234	4.9326	4.71044	4.7601	5.231885	4.8366	5.154095	4.860955	4.596115	4.67655	4.3232	4.609355	4.78591	4.973845	4.66934	4.877845	4.526	4.866	4.431	4.967	4.689	0.34	0.105	0.536	0.278	-0.258	0.165	0.083	-0.082	0.638	0.107	0.275	0.208	0.031	0.085	2	55.44	1.57491725980637e-24	1	66.83	3.75882676550498e-16	2	14.18	7.27048626223442e-07	4794	1	16.4022840767314	5.36874073642187e-05	6	2.23040650817659	0.0378979283158644	1592	1	93.9733294463819	1.24981377410565e-21	6	73.1191996384188	1.08022062900065e-80	1592	1	2.13768267738287	0.143916206793322	6	4.69380062192475	9.59551668568609e-05	1592	TRUE	TRUE	TRUE	FALSE	FBte0000930	AF541950	hopper2	Dmel	hopper2	terminal_inverted_repeat_element	DNA	Transib	NA	Transib	Drosophila_melanogaster	87.196	2	NA	Transib|DNA_transposon|Transposable_Element|Nonautonomous;nonautonomous_DNA_transposon|TIR|DMTRDNA|M4DM.	TIR	DNA	1593	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
INE1	0.98	9.339226	10.930666	11.13669	10.926305	10.56833	10.966389	11.178385	10.476345	11.06145	4.640725	10.88132	10.9075	11.23334	10.700505	11.479505	10.896545	11.046445	11.124265	10.954415	11.0882	10.922715	10.73989	10.94366	10.541605	10.379365	10.40869	10.72819	11.23603	10.541285	11.36005	10.348	10.941	10.135	11.031	10.767	0.593	0.08	0.897	0.264	-0.632	0.122	0.035	-0.087	1.591	-0.21	0.398	0.227	-0.028	0.053	2	2.03	0.131467703750181	1	2.52	0.112296291977526	2	2.01	0.134278903857759	4794	1	0.380005194394462	0.537688591340312	6	0.133484213660732	0.992027757687412	1592	1	6.4485746210184	0.0111985845591232	6	6.33673405074308	1.33244579941746e-06	1592	1	0.100564981030383	0.751194266980972	6	0.0464356884449985	0.999592600364067	1592	FALSE	FALSE	FALSE	FALSE	FBte0000312	U66884	INE-1	Dmel	INE-1	terminal_inverted_repeat_element	DNA	Helitron	NA	NA	Drosophila_simulans	82.086	2	NA	Helitron|DNA_transposon|Transposable_Element|Nonautonomous;DNAREP1_DSim.	TIR	DNA	611	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
IVK	1	14.070386	16.573209	16.352231	16.299841	15.026772	16.834324	17.522175	14.711105	17.676335	6.37193	17.478	16.46622	16.607975	15.74064	18.05897	15.630895	15.969065	15.749995	15.521985	16.490115	16.47294	16.714325	15.42099	15.715025	14.377545	14.59353	17.34733	17.03822	15.525395	17.42635	15.15	16.569	15.322	16.326	15.931	1.419	0.129	1.004	0.395	-0.609	0.092	0.035	-0.056	2.503	-0.052	1.808	0.236	-0.005	0.164	2	23.92	4.61019438277203e-11	1	141.21	4.06884923835416e-32	2	40.78	2.74162810292797e-18	4794	1	101.343138796815	3.74866462996593e-23	6	9.32304756069565	4.53570783006591e-10	1592	1	188.914529150285	1.04860491143376e-40	6	216.432591723157	4.06915629559123e-202	1592	1	0.0812176380949742	0.775691105521884	6	11.8012493142127	5.51903253252593e-13	1592	TRUE	TRUE	TRUE	FALSE	FBte0000608	nnnnnnnn	Ivk	Dmel	Ivk	non_LTR_retrotransposon	LINE	Jockey	?	I	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|gag|I_DM|JOCKEY_clade|IVK_DM|You.	non-LTR	RNA	5402	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
JOCKEY2	0.895	8.39696	10.284163	10.673704	10.279259	9.570819	10.323606	10.383375	9.72793	10.737135	2.7394	10.790605	9.7336	10.44066	10.171785	11.18563	10.89973	10.472065	10.13739	9.76064	11.0284	10.316365	10.01163	9.77127	9.54671	9.59138	9.373915	10.552805	10.309545	9.78873	10.643345	9.547	10.296	9.341	10.476	9.947	0.749	0.109	1.136	0.529	-0.607	0.166	0.075	-0.091	1.887	-0.394	0.753	0.292	-0.054	0.109	2	23.55	6.66852351962189e-11	1	30.62	3.29747712236907e-08	2	23.71	5.65042432099475e-11	4794	1	11.3785334729128	0.000760801146463632	6	0.871780552395289	0.514837456434006	1592	1	76.7689645625347	4.82303250079435e-18	6	78.6730890616321	2.85716179423664e-86	1592	1	2.8457333735892	0.0918126911272607	6	2.35431016249596	0.028742074311605	1592	TRUE	FALSE	TRUE	FALSE	FBte0001092	NA	jockey2	Dmel	jockey2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|JOCKEY_clad|JOCKEY2|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	3428	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
JUAN	1	11.199792	16.370759	16.840731	14.891462	14.606705	16.334862	14.587405	14.808565	13.423725	1.979475	17.04887	16.552275	15.788635	16.093255	16.192945	17.339085	17.054245	16.77665	16.11431	14.781215	14.565285	14.10504	14.83704	14.559575	14.58385	14.446355	17.062635	17.368205	14.800405	16.108205	14.216	15.866	13.785	15.866	15.471	1.65	0.158	2.081	0.395	-1.686	0.203	0.036	-0.166	5.171	-1.949	1.728	0.548	-0.177	0.161	2	82.03	9.34409674379722e-36	1	137.15	2.96559354367111e-31	2	212.92	2.55300011986233e-89	4794	1	62.7036683670243	4.47020840685692e-15	6	7.14703216241084	1.55549510835999e-07	1592	1	632.145326629813	9.51026072536183e-118	6	227.288490774989	8.49670200287167e-210	1592	1	74.5858518076717	1.38576599714857e-17	6	4.82569385486744	6.84277160339377e-05	1592	TRUE	TRUE	TRUE	TRUE	FBte0000982	AY180919	Juan	Dmel	Juan	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.905	1	1	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC6_DM;JOCKEY_clade|ORF1|ORF2|Strider|endonuclease;reverse_transcriptase.	non-LTR	RNA	4236	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
LOOPER1_DM	1	1.315716	1.621078	1.615825	1.622559	1.512552	1.599332	1.637545	1.58562	1.661685	0.378015	1.61685	1.475175	1.835665	1.55662	1.75489	1.53345	1.56876	1.6062	1.573765	1.64336	1.6755	1.59761	1.49636	1.56157	1.50991	1.48237	1.64152	1.568875	1.582085	1.60485	1.481	1.614	1.468	1.619	1.556	0.133	0.124	0.151	0.063	-0.088	0.141	0.057	-0.084	0.305	0.007	0.087	0.301	0.006	0.08	2	39.7	7.93599674989542e-18	1	91.8	1.49591331834998e-21	2	41.36	1.55381826471051e-18	4794	1	17.6169699795842	2.85093013633186e-05	6	1.29018895592407	0.258397240340874	1592	1	217.071785901082	3.72573614691837e-46	6	241.895958891816	7.17984335679512e-220	1592	1	0.094842251714872	0.758149485265004	6	6.04332018255865	2.88523531362854e-06	1592	TRUE	TRUE	TRUE	FALSE	FBte0000323	NA	looper1	Dmel	looper1	terminal_inverted_repeat_element	DNA	piggyBac	PiggyBac	PiggyBac	Drosophila_melanogaster	100	1	NA	piggyBac|DNA_transposon|Transposable_Element|LOOPER1_Dm;Looper/PiggyBac_superfamily|TTAA|transposase.	TIR	DNA	1881	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
MARINER2	1	10.598516	12.94705	13.186231	12.511371	12.323585	12.814489	12.91152	11.838185	13.07149	4.57287	12.9708	12.36298	13.53	12.92442	13.660415	12.91929	13.272475	12.892745	11.79721	12.648635	12.69878	12.90086	12.656145	12.082285	12.256745	12.299165	12.830665	12.68493	12.2213	13.52106	12.036	12.758	11.773	12.849	12.569	0.722	0.084	1.076	0.28	-0.796	0.126	0.032	-0.094	2.349	-0.675	0.491	0.289	-0.076	0.056	2	38.16	3.61129732011277e-17	1	47.8	5.32840904991381e-12	2	71.17	3.48438708687349e-31	4794	1	8.63713740993953	0.00334122575225382	6	3.11231762758801	0.00491804660581631	1592	1	211.761467809363	3.90978068026505e-45	6	159.948337143222	3.68555517209685e-159	1592	1	16.2314961045458	5.86967415090269e-05	6	3.28290311972745	0.00326017602396926	1592	TRUE	FALSE	TRUE	TRUE	FBte0001033	nnnnnnnn	mariner2	Dmel	mariner2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|MARINER2_DM;Mariner/Tc1-superfamily|transposase.	TIR	DNA	912	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
