TEfam	TEpropCov	Cont_Ra	Cont_Rb	Sel_2La	Sel_2Lb	Sel_La	Sel_Lb	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS
RT1B	1	36.927	32.536	40.684	33.639	27.646	30.778	34.732	33.187	-1.545	-0.066	1	4.19	0.040955629323469	4	33.73	0.040955629323469	1194	FALSE	FBte0000603	AC005734	Rt1b	Dmel	Rt1b	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	99.69	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1B|Waldo-A.	non-LTR	RNA	5171	FALSE	FALSE
RT1C	0.88	5.479	5.325	5.769	5.439	6.059	6.113	5.402	5.845	0.443	0.114	1	3.42	0.0646104415541803	4	0.98	0.0646104415541803	1194	FALSE	FBte0000666	nnnnnnnn	Rt1c	Dmel	Rt1c	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	100	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|R1/I_clade|DMRT1|DMRT1C.	non-LTR	RNA	5443	FALSE	FALSE
S2	1	1.869	1.508	1.508	1.817	1.724	1.951	1.689	1.75	0.062	0.052	1	2.54	0.110980909464558	4	21.39	0.110980909464558	1194	FALSE	FBte0000709	nnnnnnnn	S2	Dmel	S2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|S2_DM|S_DM|TIR|transposase.	TIR	DNA	1735	FALSE	FALSE
STALKER3	1	8.888	8.659	10.451	9.196	10.659	11.072	8.774	10.345	1.571	0.238	1	119.12	1.6752896234539e-26	4	17.95	1.6752896234539e-26	1194	TRUE	FBte0001157	NA	Stalker3	Dmel	Stalker3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|LTR|STALKER3_LTR;TABOR_group.	LTR	RNA	372	TRUE	FALSE
TAHRE	0.98	14.109	14.568	6.744	8.686	20.464	14.281	14.339	12.544	-1.795	-0.193	1	32.7	1.35849731844043e-08	4	217.66	1.35849731844043e-08	1194	TRUE	FBte0000148	AJ542581	TAHRE	Dmel	TAHRE	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|TAHRE.	non-LTR	RNA	10463	FALSE	FALSE
TARTC	0.97	2.154	0.192	0.666	0.627	3.749	3.651	1.173	2.173	1	0.89	1	470.67	2.98616613669597e-88	4	992.86	2.98616613669597e-88	1194	TRUE	FBte0001208	AY600955	TART-C	Dmel	TART-C	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	91.837	2	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;Repetitive_sequence|TARTB1|TART_B1.	non-LTR	RNA	11124	FALSE	FALSE
TC1	1	11.644	10.635	9.835	11.762	10.607	12.238	11.14	11.111	-0.029	-0.004	1	0.08	0.780842025516816	4	70.58	0.780842025516816	1194	FALSE	FBte0000927	nnnnnnnn	Tc1	Dmel	Tc1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|TC1_DM|transposase.	TIR	DNA	1666	FALSE	FALSE
TC1-2	1	7	6.187	5.847	7.444	6.441	7.83	6.594	6.891	0.297	0.064	1	13.14	0.000300555832852659	4	78.5	0.000300555832852659	1194	FALSE	FBte0000838	nnnnnnnn	Tc1-2	Dmel	Tc1-2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|TC1-2_DM|transposase.	TIR	DNA	1644	FALSE	FALSE
TC3	0.915	3.087	2.815	3.023	3.061	3.252	3.558	2.951	3.224	0.272	0.127	1	7.96	0.00487479673704921	4	4.35	0.00487479673704921	1194	FALSE	FBte0000044	AC009537	Tc3	Dmel	Tc3	terminal_inverted_repeat_element	DNA	NA	Tc1-Mariner	Tc3	NA	NA	0	NA	NA	TIR	DNA	1743	FALSE	FALSE
TRANSIB1	0.965	2.166	1.76	1.925	2.031	2.061	2.285	1.963	2.075	0.112	0.08	1	5.52	0.0189540321123381	4	12.44	0.0189540321123381	1194	FALSE	FBte0000626	nnnnnnnn	transib1	Dmel	transib1	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	99.575	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;transposase|TRANSIB3|TRANSIB1.	TIR	DNA	2167	FALSE	FALSE
TRANSIB2	1	8.504	7.333	7.426	8.405	8.539	8.442	7.918	8.203	0.285	0.051	1	4.52	0.0337258380025242	4	15.66	0.0337258380025242	1194	FALSE	FBte0000885	nnnnnnnn	transib2	Dmel	transib2	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;TRANSIB2|TRANSIB2p_transposase.	TIR	DNA	2844	FALSE	FALSE
TRANSIB3	0.98	2.665	2.186	2.177	2.653	2.113	2.739	2.426	2.421	-0.005	-0.003	1	0.01	0.930705551836052	4	26.68	0.930705551836052	1194	FALSE	FBte0000725	nnnnnnnn	transib3	Dmel	transib3	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;TRANSIB1|TRANSIB3|transposase.	TIR	DNA	2883	FALSE	FALSE
TRANSIB4	1	2.338	1.987	1.964	2.401	1.938	2.443	2.163	2.187	0.024	0.016	1	1.07	0.301226927435007	4	102.21	0.301226927435007	1194	FALSE	FBte0001174	nnnnnnnn	transib4	Dmel	transib4	terminal_inverted_repeat_element	DNA	Jockey	?	Transib	Drosophila_melanogaster	99.115	1	NA	Transib|DNA_transposon|Transposable_Element|DDE-class;TRANSIB_family|TRANSIB4p_transposase|TRANSIB4.	TIR	DNA	2656	FALSE	FALSE
