TEfam	flybase_name	fb_id	TEsubclass	TEclass	CE1	CE2	CE3	CE4	CP1	CP2	CP3	CP4	HE1	HE2	HE3	HE4	HP1	HP2	HP3	HP4	LE1	LE2	LE3	LE4	LP1	LP2	LP3	LP4	Mean_Cont	Mean_Sel	ConsistSC_L	ConsistCS_L	ConsistSC_C	ConsistCS_C	ConsistSC_H	ConsistCS_H
GYPSY6	gypsy6	FBte0001175	LTR	RNA	83298.553	61964.713	61022.56	71251.372	66168.376	57249.452	60816.846	57134.741	67941.894	56919.635	62480.593	61491.548	54765.574	63867.386	60606.836	61821.354	56077.176	58903.165	51431.071	52644.342	58146.569	58259.891	57919.425	62479.326	62118.8851666667	59936.3146666667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
GYPSY7	gypsy7	FBte0000171	LTR	RNA	27155.944	23978.81	26947.272	20580.854	27300.991	25597.746	26633.004	26973.504	28261.955	25851.015	26472.049	26150.43	24100.667	25407.623	26029.186	25404.897	24498.187	24309.776	23221.008	22582.383	27340.04	25969.984	24680.13	27707.482	25000.8069166667	26095.4378333333	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
GYPSY8	gypsy8	FBte0000168	LTR	RNA	10932.566	9912.017	10764.952	14871.475	10170.111	9905.48	10138.995	10074.921	11160.188	10052.512	10269.675	10159.591	9624.969	9952.01	10454.901	10359.927	9947.837	10250.785	9976.73	10281.267	10361.453	10232.353	10001.063	10442.384	10714.96625	10143.2139166667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
HEL	Helena	FBte0000984	non-LTR	RNA	5810.565	5875.788	6017.823	5358.669	5716.038	5712.453	6120.569	5845.311	6379.034	6131.351	6480.3	6286.961	5860.611	5986.819	6161.787	5957	5517.788	5621.326	5230.08	4843.375	5905.524	5453.38	5461.372	5451.292	5796.08833333333	5802.67966666667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
HOPPER2	hopper2	FBte0000930	TIR	DNA	7232.784	6877.449	6558.357	3650.302	7491.196	7457.167	7041.587	7194.808	7695.349	7267.384	7626.392	7360.102	7545.687	7191.491	7318.726	7518.621	6663.686	6742.631	6632.121	7059.521	7136.656	7611.03	7220.796	7400.63	6780.5065	7344.03291666667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
INE1	INE-1	FBte0000312	TIR	DNA	7745.242	7425.074	7782.285	3562.929	7670.473	7600.923	7891.357	7610.567	8140.868	7789.876	7797.756	7743.401	7422.924	7817.32	7645.302	7520.905	7618.309	7521.289	7338.006	7425.21	7643.638	7709.552	7485.377	7731.969	7324.18708333333	7645.85891666667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
INVADER	invader1	FBte0000357	LTR	RNA	39798.9	37959.85	41451.871	38616.757	43161.62	37724.035	41019.52	39910.393	42405.779	41630.245	41206.969	40400.389	35943.24	38870.209	37648.022	39354.704	39638.374	38361.71	37854.663	37643.449	39299.02	41468.502	41468.861	39385.683	39747.413	39604.4840833333	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
INVADER2	invader2	FBte0001084	LTR	RNA	91595.615	87859.484	93909.299	46558.16	95673.938	87118.4	96541.641	95954.176	99021.786	91693.232	92702.837	92197.264	87006.852	88635.198	90384.699	91175.209	88248.464	87859.196	83249.206	81385.92	93807.582	99110.809	91710.522	99030.232	86356.70525	93012.4381666667	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
INVADER3	invader3	FBte0000619	LTR	RNA	34679.68	33625.328	35138.884	28139.145	38871.501	33697.083	37211.612	39758.887	39351.543	37050.735	34375.827	34230.52	33929.9	36496.787	35448.558	34675.006	35744.666	35365.45	34486.507	33468.975	37939.785	39717.029	35331.24	40341.62	34638.105	36951.584	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
INVADER4	invader4	FBte0000292	LTR	RNA	24428.387	21414.585	24292.562	20482.434	24828.82	25088.49	26351.478	25171.816	26229.791	25778.03	23675.737	23417.098	23412.411	24558.532	25541.991	24649.18	23247.223	23145.497	23349.394	23264.74	25276.635	24654.306	23446.022	25583.357	23560.4565	24880.2531666667	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
INVADER5	invader5	FBte0000188	LTR	RNA	5284.217	5161.69	4915.465	4620.19	4852.54	4901.516	4954.664	4955.731	5267.856	4850.693	5241.151	5090.101	3974.844	4539.668	4372.455	4950.493	4474.754	4725.389	4093.876	4083.861	5236.258	5249.568	4149.453	5185.384	4817.43691666667	4776.88116666667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
INVADER6	invader6	FBte0000591	LTR	RNA	11635.906	10555.653	10949.25	10865.013	12324.86	11090.425	10916.961	10971.438	11309.448	9553.319	10400.931	10597.157	10320.531	11700.388	10564.366	10774.871	10508.293	10086.283	9537.391	9509.962	11199.33	12313.202	10742.264	13036.478	10459.0505	11329.5928333333	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
IVK	Ivk	FBte0000608	non-LTR	RNA	84225.472	69903.551	84349.608	66814.618	80765.774	78008.6	79267.395	74918.575	90594.58	79573.24	78257.758	77677.575	73090.862	79841.589	77284.971	76924.43	72404.325	73681.756	66705.225	66925.711	79002.436	76800.704	70431.406	79501.192	75926.11825	77153.1611666667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
JOCKEY2	jockey2	FBte0001092	non-LTR	RNA	13119.273	12266.761	12777.775	10583.717	13579.138	12473.765	12954.636	12575.611	13949.402	13446.267	12930.712	12570.195	12389.162	13273.65	12954.943	12568.449	11671.605	11833.584	11369.776	11087.282	12701.689	12632.723	12264.025	13653.772	12300.5290833333	12835.13025	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
JUAN	Juan	FBte0000982	non-LTR	RNA	46216.557	39747.861	39884.578	18519.033	47569.72	43934.295	45165.775	44602.683	48215.767	47988.033	49424.658	48924.437	40648.095	44606.928	38690.478	39702.384	36017.898	37086.034	35740.78	34718.525	47658.944	49585.978	40631.274	50142.198	40207.0134166667	44411.5626666667	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
LOOPER1_DM	looper1	FBte0000323	TIR	DNA	4520.157	4309.61	4667.048	2301.259	4645.373	4451.992	4818.833	4506.971	4932.9	4611.256	4585.663	4624.773	4264.436	4674.962	4554.554	4581.67	4499.169	4374.234	4336.924	4172.101	4627.417	4628.014	4370.811	4683.539	4327.9245	4567.381	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
MARINER2	mariner2	FBte0001033	TIR	DNA	9758.785	9157.241	9680.308	7466.318	9813.752	9362.317	10138.176	9859.312	10404.746	9816.947	9968.124	9842.03	9185.835	9845.149	9773.98	9721.422	9425.441	9096.136	9328.833	9305.288	9684.714	9543.585	9118.191	9944.072	9437.51641666667	9665.87541666667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
McCLINTOCK	McClintock	FBte0000926	LTR	RNA	43544.117	39730.54	44227.834	26133.31	45109.66	41474.084	43424.573	40644.827	47749.975	40297.318	43566.286	42696.745	41068.003	41564.422	44403.062	42361.422	42891.817	42113.307	39998.335	40445.811	47668.251	43841.341	40812.741	45270.589	41116.2829166667	43136.9145833333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OPUS	opus	FBte0000918	LTR	RNA	105402.836	110015.983	115377.94	122028.732	107929.253	115485.177	112872.034	106895.109	134571.819	110486.061	125070.647	124025.373	111720.406	112679.893	113655.036	117063.029	99097.789	100617.271	98316.079	93690.321	112336.188	102674.15	101202.608	108615.776	111558.40425	110260.721583333	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
OSV	Osvaldo	FBte0000587	LTR	RNA	2326.171	2073.214	2358.673	3096.793	2173.474	2165.846	2236.187	2281.93	2436.286	2191.021	2337.61	2233.481	2175.624	2273.711	2256.419	2245.744	2109.009	2231.723	2048.641	1969.641	2346.729	2255.462	2092.42	2322.164	2284.35525	2235.47583333333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
PPI251	P-element	FBte0000037	TIR	DNA	66232.956	58166.636	65051.252	27692.267	68231.005	57618.401	61373.73	56296.965	54291.718	57854.077	54243.62	57757.351	59062.857	61867.284	60669.855	64393.344	60865.358	60299.629	64943.35	70325.821	58070.85	56121.446	56904.378	54360.968	58143.6695833333	59580.9235833333	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
QBERT	accord2	FBte0001166	LTR	RNA	47954.242	42570.218	49497.248	29900.56	46376.745	45034.263	45315.077	45635.657	48895.426	46536.867	48593.953	45962.691	41027.97	42074.135	43591.007	43428.972	43465.087	41519.624	41655.219	38436.029	48309.985	45041.976	42837.094	46120.761	43748.9303333333	44566.1368333333	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
QUASIMODO	Quasimodo	FBte0000640	LTR	RNA	180714.204	164886.679	172927.989	66105.655	188484.783	169677.694	190289.264	180546.063	191304.565	186890.192	173005.666	178505.258	156414.533	167398.61	156638.724	164978.508	167558.687	165075.464	160160.821	153236.049	178342.869	189591.004	175270.723	191921.756	163364.269083333	175796.210916667	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
R1-2	R1-2	FBte0000720	non-LTR	RNA	4620.894	4276.632	4478.27	6254.339	4743.275	4325.275	4754.087	4743.582	5036.012	4801.223	4724.179	4632.728	4456.16	4395.951	4676.576	4575.045	4464.536	4331.46	4043.649	4021.945	4578.099	4748.113	4440.586	4698.343	4640.48891666667	4594.591	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ROOA_LTR	rooA	FBte0000765	LTR	RNA	66105.067	61679.317	64783.85	60681.333	67251.956	62737.929	68078.474	67053.533	68489.054	65398.146	66330.959	64230.335	61829.959	64186.234	65602.916	63496.337	63056.373	62959.813	60083.624	60682.407	66513.637	65977.468	62456.653	67576.699	63706.6898333333	65230.1495833333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ROVER	rover	FBte0000692	LTR	RNA	53867.233	51826.232	51771.973	30014.25	52187.639	50095.397	62039.956	55933.31	60137.649	55242.47	56721.233	53784.016	53052.269	52123.147	53092.739	51398.62	47929.649	48749.763	50867.495	48823.25	53452.99	48408.576	46109.199	58142.393	50811.26775	53003.0195833333	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ROXELEMENT	X-element	FBte0001160	non-LTR	RNA	65015.37	60604.582	65464.818	82239.775	64280.743	60899.199	65009.301	63996.04	64724.259	61751.804	64472.035	64305.067	59674.023	62692.164	63882.315	62196.435	61693.084	61970.094	60219.227	58008.766	63766.408	65559.197	63084.922	69329.496	64205.7400833333	63697.52025	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
RT1B	Rt1b	FBte0000603	non-LTR	RNA	153939.129	149077.39	159430.321	212291.526	154978.185	142206.174	150316.865	151213.19	165949.443	154879.775	154483.781	149398.704	143081.218	143233.948	146812.519	148480.858	139434.187	140770.583	135128.537	137791.271	146195.266	145010.131	138870.507	152639.604	154381.220583333	146919.872083333	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
RT1C	Rt1c	FBte0000666	non-LTR	RNA	23607.313	22344.283	23957.295	31983.154	23345.26	23435.543	24439.131	23668.483	24801.634	23712.477	23509.102	22846.143	23813.76	22722.791	23566.603	24402.344	22868.963	23658.17	22576.63	22414.125	22790.9	23419.428	22721.695	23528.961	24023.2740833333	23487.90825	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S2	S2	FBte0000709	TIR	DNA	8798.152	7961.799	8847.717	4234.562	8939.127	8383.185	9102.887	8601.349	8854.761	8600.732	8941.659	8612.273	8228.328	8478.57	8579.092	8627.934	8207.865	8004.983	7777.353	7726.001	8941.548	8948.442	8344.848	8862.677	8047.32141666667	8669.83225	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
SPRINGER	springer	FBte0000333	LTR	RNA	40254.413	36616.177	35315.719	42991.722	37001.033	34742.775	35796.293	35660.305	38143.648	30562.991	40238.543	36038.39	30943.644	32648.545	29580.071	32690.96	38629.836	34309.624	39942.775	38096.787	33897.261	34502.175	34512.32	37587.553	37595.0520833333	34130.2445833333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
STALKER2	Stalker2	FBte0000472	LTR	RNA	39281.422	39696.584	40102.218	24885.425	42177.938	32209.503	40671.893	32173.064	39510.886	36130.685	40314.622	42047.542	36406.469	39118.668	34992.693	32554.885	34155.63	33266.482	31306.474	27318.441	35399.957	35533.456	36577.235	34191.6	35668.03425	36000.6134166667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
STALKER3	Stalker3	FBte0001157	LTR	RNA	3794.905	3394.716	3894.7	2327.098	3637.439	3330.169	3431.764	3511.583	4082.075	3675.615	3727.115	3522.091	2987.326	3408.381	3413.373	3245.524	3175.288	3092.44	2877.625	2757.47	3634.576	3432.295	3276.846	3713.812	3360.09483333333	3418.59066666667	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
TABOR	Tabor	FBte0000974	LTR	RNA	40616.303	47605.525	45226.429	25817.54	49955.392	44255.231	44425.399	45643.596	49729.244	45248.87	46384.239	46493.939	43593.195	43744.25	45310.374	50418.062	39369.563	44874.302	37555.528	40694.669	45228.087	44801.65	44410.681	44153.976	42468.0125833333	45494.9910833333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
TAHRE	TAHRE	FBte0000148	non-LTR	RNA	50317.449	65984.856	52460.76	39592.842	101983.423	118538.837	112417.281	90326.861	59346.254	75353.539	47943.964	48371.33	92027.691	116339.143	102553.859	88692.177	99128.954	91543.263	102573.917	121878.134	93497.437	77469.381	69812.788	91050.678	71207.9385	96225.7963333333	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
TC1	Tc1	FBte0000927	TIR	DNA	29735.923	28645.764	29913.334	19692.99	30584.816	29509.816	30959.246	30079.351	31126.778	30068.979	29839.481	29860.403	29190.109	30484.844	29967.467	29798.132	28963.638	28390.732	28840.423	28202.409	30355.993	30026.205	29238.588	30441.469	28606.7378333333	30053.003	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
TC1-2	Tc1-2	FBte0000838	TIR	DNA	21149.282	19648.381	20834.809	7871.872	21155.583	20822.457	21806.741	21313.513	21711.274	20984.563	21113.427	20617.593	19608.813	20884.372	20055.833	20771.632	20684.974	19660.227	20161.575	19556.885	20803.499	21250.843	20214.71	20946.552	19499.5718333333	20802.879	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
TC3	Tc3	FBte0000044	TIR	DNA	6246.42	6090.666	6273.407	2509.307	6674.515	6189.873	6907.32	6858.716	6854.799	6653.538	6242.703	6671.84	6163.429	6775.536	6415.968	6325.479	6320.1	5959.755	6047.924	5780.109	6362.487	6397.128	6058.802	6395.915	5970.88066666667	6460.43066666667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Tinker	diver	FBte0000001	LTR	RNA	61837.678	62094.235	63829.316	70046.312	61478.68	64893.168	63521.21	64110.499	69365.472	61351.96	62566.416	65536.445	59492.788	63468.437	64243.165	63784.975	67039.084	65601.421	66318.624	65120.873	60789.453	52466.209	55017.629	60832.476	65058.9863333333	61174.89075	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
TIRANT	Tirant	FBte0000179	LTR	RNA	34667.956	36931.089	39924.533	32205.777	33422.918	44193.7	46211.988	44242.4	37119.253	42253.89	38229.254	40601.837	42258.597	43674.6	43072.795	37447.382	39789.813	40799.263	36876.3	36238.522	37647.208	42765.051	40064.641	35944.305	37969.7905833333	40912.1320833333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
TRANSIB1	transib1	FBte0000626	TIR	DNA	6984.806	6316.567	6645.944	2587.478	7232.875	6730.693	7094.696	7014.003	7332.009	6801.843	6840.172	7087.647	6553.104	6867.383	6689.101	6797.715	6489.776	6326.837	6072.147	5906.247	7503.824	7023.417	6747.238	7034.188	6282.62275	6940.68641666667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
TRANSIB2	transib2	FBte0000885	TIR	DNA	40617.229	37818.087	41346.624	19091.911	42255.775	38123.493	42467.409	42027.934	43447.552	42084.868	40393.915	40028.652	37386.272	39468.615	39228.696	40353.696	39368.077	38453.177	36785.8	37323.175	39992.999	40137.577	39299.224	40626.491	38063.2555833333	40114.0150833333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
TRANSIB3	transib3	FBte0000725	TIR	DNA	16509.021	15657.461	16807.883	7170.122	17377.694	16094.35	16918.995	16349.775	17665.27	16546.168	17062.878	17131.851	15506.213	16359.227	16642.733	15980.568	16320.926	15676.794	15288.236	15550.837	17123.074	17168.607	15781.659	17331.187	15615.6205833333	16552.8401666667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
TRANSIB4	transib4	FBte0001174	TIR	DNA	7425.266	7146.04	7240.876	2890.226	7386.041	7166.077	7609.006	7671.979	7839.158	7751.267	7631.678	7556.973	7085.672	7308.799	7399.225	7183.051	7199.104	7338.248	6820.271	6715.755	7595.227	7364.443	7072.192	7464.553	6962.90516666667	7358.85541666667	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
